Lambda_Values,Tau_0_Values,IsIrreducible
0.0,1.5813492147468449,true
1.0,1.7981126291563305,true
2.0,2.00285581065015,true
3.0,2.1676679502646814,true
4.0,2.283970488431135,false
5.0,2.388881843253683,true
6.0,2.785714273701299,true
7.0,2.5738792840700593,true
8.0,2.65691851530524,true
9.0,2.7349813956672904,true
10.0,2.8154393119441745,true
12.0,2.941646561938258,true
13.0,3.000819850440482,true
14.0,3.0577263135939146,true
15.0,3.123742381060556,true
16.0,3.1655628403959954,true
17.0,3.2254812318836694,true
20.0,3.37042512605281,true
21.0,3.4175617614587237,true
22.0,3.4642068516004936,true
23.0,3.510406303394586,true
24.0,3.5561997392901925,true
25.0,3.601621578695694,true
26.0,3.646701884234497,true
27.0,3.691467144892432,true
28.0,3.735939910848545,true
29.0,3.779872943198421,true
30.0,3.823081601637112,true
31.0,3.855624303990795,true
32.0,3.9074628176022923,true
33.0,3.948697281821105,true
34.0,3.9893317798382144,true
35.0,4.821652469849687,true
36.0,4.068901421735727,true
37.0,4.107882564681551,true
38.0,4.110472156696726,true
39.0,4.1449700556176,true
40.0,4.221856514499138,true
41.0,4.25891876657679,true
43.0,4.33174777443934,true
45.0,4.343569835982918,true
46.0,4.437967222085734,true
47.0,4.47261913565534,true
49.0,4.540860876772862,true
50.0,4.49946342758167,true
52.0,4.640723501414906,true
53.0,4.589380853788499,true
54.0,4.618800774486112,true
55.0,4.647956869417776,true
56.0,4.676856114054305,true
57.0,4.7055051816602855,true
58.0,4.733910461332845,true
59.0,4.863310977982395,true
60.0,4.790013891092987,true
61.0,4.817723542536126,true
62.0,4.845212435811611,true
63.0,4.872485766347542,true
65.0,4.926405526328289,true
66.0,4.9530613844108595,true
67.0,5.102385514161295,true
68.0,5.005787334195714,true
70.0,5.0577601105575285,true
72.0,5.244729881078087,true
73.0,5.134375153957801,true
74.0,5.159569579072949,true
75.0,5.3278109976390695,true
76.0,5.355140245790245,true
79.0,5.283111153673039,true
80.0,5.307354698782176,true
83.0,5.37920649563511,true
85.0,5.4264012571036675,true
86.0,5.449794063142429,true
87.0,5.473053603988192,true
88.0,5.496182131822828,true
89.0,5.519181836087993,true
95.0,5.651995758768167,true
104.0,5.834315907411261,true
105.0,5.853585806920749,true
106.0,5.872679781346037,true
109.0,5.928951264839872,true
110.0,5.947385385323042,true
113.0,6.001770638536932,true
116.0,6.054849397741525,true
121.0,6.140623325289711,true
123.0,6.174050712630131,true
129.0,6.271538840274775,true
131.0,6.303155860213324,true
133.0,6.334357252564839,true
134.0,6.3498062213193185,true
141.0,6.455259061378476,true
145.0,6.51352688904151,true
148.0,6.55633973516455,true
150.0,6.5844760567745375,true
152.0,6.6122980204559,true
154.0,6.639813863148323,true
158.0,6.693958405691097,true
163.0,6.760050900450302,true
164.0,6.7730662147941425,true
170.0,6.849802341059834,true
172.0,6.874882340554393,true
175.0,6.912054052940998,true
177.0,6.936544031080534,true
181.0,6.984847805137426,true
182.0,6.996786383870219,true
183.0,7.008671178094402,true
190.0,7.090404956139767,true
191.0,7.10187900081493,true
194.0,7.136008874221796,true
197.0,7.1697103318865185,true
198.0,7.180851095941179,true
200.0,7.202995708745203,true
205.0,7.2575784669487895,true
208.0,7.28981047620571,true
209.0,7.300470562765313,true
214.0,7.35315842946071,true
215.0,7.363576012554997,true
217.0,7.384293982046886,true
219.0,7.404857937510497,true
229.0,7.505457272878414,true
230.0,7.51532093332586,true
239.0,7.6025731615252585,true
247.0,7.677938691975934,true
253.0,7.733186659499704,true
254.0,7.7422922328173165,true
257.0,7.769437629501594,true
260.0,7.796330345680663,true
261.0,7.805239368200351,true
262.0,7.814121109079909,true
263.0,7.822975760926082,true
267.0,7.858127256147983,true
268.0,7.866849278397457,true
270.0,7.884215569992767,true
272.0,7.901479370351437,true
279.0,7.961115340316484,true
284.0,8.002985615825402,true
290.0,8.052461290002837,true
292.0,9.346183938963188,true
298.0,8.117176230152158,true
299.0,8.125168063652128,true
300.0,9.457253714534339,true
